"""Kernel""","""Salinity""","""Species""","""Day 0""","""Day 1""","""Day 2""","""Day 3""","""Day 4""","""Day 5""","""Day 6""","""Day 7""","""Day 8""","""Day 9""","""Day 10"""
2,HS,I,2.416666667,1.87704918,1.836363636,2.815789474,2.947368421,2.704918033,3.078431373,2.958333333,3,3.210526316,3.04
2,HS,I,2.443661972,2.528301887,3.086956522,2.842105263,2.987341772,3.247706422,2.669565217,2.818965517,2.778761062,2.944954128,3.083333333
2,HS,I,2.306709265,2.385964912,2.622222222,2.371681416,2.697674419,2.730769231,2.63372093,2.679558011,2.471428571,2.183206107,2.146788991
2,HS,I,2.357638889,2.053435115,2.380597015,2.699186992,3.649350649,2.777777778,2.770833333,2.698924731,2.720430108,3.160493827,2.878787879
2,HS,I,2.205992509,1.926724138,2.165289256,2.23364486,3.333333333,2.390243902,2.261538462,2.381818182,2.939393939,2.176470588,1.833333333
2,HS,I,2.330882353,1.878787879,2.241935484,2.22,2.285714286,2.477272727,1.985915493,1.927710843,2.156862745,1.575757576,1.833333333
2,HS,I,2.161184211,2.093457944,2.0234375,2.564885496,2.909090909,2.585798817,2.538922156,2.631944444,2.507575758,2.353383459,2.171641791
2,HS,I,2.392592593,2.115942029,2.179487179,2.505376344,3,3.220588235,3.192771084,3.638554217,2.913580247,2.788732394,3.017857143
2,HS,I,2.441064639,2.173076923,2.243902439,2.166666667,2.113924051,2.863013699,2.745454545,2.326923077,2.406779661,2.8,2.701492537
2,HS,I,2.247148289,2.683794466,2.325991189,2.208860759,2.329545455,2.555066079,2.637755102,2.494318182,2.544303797,2.4765625,2.319327731
2,HS,I,2.277966102,2.258064516,2.282051282,3.015873016,2.770491803,2.588235294,2.623529412,2.7,2.847457627,2.613333333,2.393258427
2,HS,I,2.17921147,2.347058824,2.673267327,2.821167883,2.893401015,3.252173913,3.393617021,3.213114754,3.08125,3.442857143,3.380952381
2,HS,I,2.329861111,2.489655172,2.686868687,2.893939394,2.909090909,3.283018868,3.117117117,3.670731707,3.242105263,3.064516129,3.14084507
2,HS,I,2.243636364,2.642487047,2.570247934,2.807228916,3.591836735,3.75,3.694444444,2.794117647,3.916666667,3.8,3
2,HS,II,2.325259516,2.472440945,2.62295082,2.183333333,2.666666667,1.922077922,1.9625,2.31884058,2.052631579,2.547945205,2.425531915
2,HS,II,2.382165605,2.701754386,2.925619835,2.841059603,2.821138211,2.775193798,2.896551724,2.908163265,3.056338028,3.15625,2.909090909
2,HS,II,2.265232975,2.396396396,2.331168831,2.422459893,2.484210526,3.170854271,3.141242938,3.430656934,3.25210084,3.609756098,3.439393939
2,HS,II,2.417582418,2.220833333,2.732026144,2.516483516,2.84,3.014084507,2.396226415,3.851851852,3.59375,4.923076923,4.652173913
